sid,firstName,lastName,yearStarted
555,Solange,Knowles,2012
666,Peter,Weiner,2012
1111,Ya,Boi,2020
1234,Michael,Scott,2009
1337,Beyonce,Knowles,1985
1345,Julius,Caesar,-60
1865,Abraham,Lincoln,2012
3321,Mark,Brandanowitz,1992
4224,Michelle,Young,1984
4444,Grace,Hopper,1944
5376,Poverty,Jones,1969
5432,Mark,Wahlberg,2000
6969,Thug,Nugget,1862
7928,John,Cash,1950
9191,Margaret,Mead,1919
9878,First,Last,2014
9999,Elon,Musk,1932
14325,John,Doe,1999
69420,Ray,Zimmerman,2017
90210,Kappa,Pride,2018
314158,Mr.,Pie,1000
999831,John,Cena,2003
89990,BoJack,Horseman,2012
